exported_at_picking_warehouse,picking_warehouse_id,shipping_warehouse_id,day,share
2024-06-04,3,2,4,0
2024-06-04,3,2,5,0
2024-06-04,3,2,6,0
2024-06-05,1,2,0,0.02
2024-06-05,1,2,1,0.53
2024-06-05,1,2,2,0.34
2024-06-05,1,2,3,0.11
2024-06-05,1,2,4,0
2024-06-05,1,2,5,0
2024-06-05,1,2,6,0
2024-06-05,1,3,0,0.02
2024-06-05,1,3,1,0.47
2024-06-05,1,3,2,0.46
2024-06-05,1,3,3,0.05
2024-06-05,1,3,4,0
2024-06-05,1,3,5,0
2024-06-05,1,3,6,0
2024-06-05,2,1,0,0.04
2024-06-05,2,1,1,0.43
2024-06-05,2,1,2,0.52
2024-06-05,2,1,3,0.01
2024-06-05,2,1,4,0
2024-06-05,2,1,5,0
2024-06-05,2,1,6,0
2024-06-05,2,3,0,0.02
2024-06-05,2,3,1,0.47
2024-06-05,2,3,2,0.46
2024-06-05,2,3,3,0.05
2024-06-05,2,3,4,0
2024-06-05,2,3,5,0
2024-06-05,2,3,6,0
2024-06-05,3,1,0,0.04
2024-06-05,3,1,1,0.43
2024-06-05,3,1,2,0.52
2024-06-05,3,1,3,0.01
2024-06-05,3,1,4,0
2024-06-05,3,1,5,0
2024-06-05,3,1,6,0
2024-06-05,3,2,0,0.02
2024-06-05,3,2,1,0.53
2024-06-05,3,2,2,0.34
2024-06-05,3,2,3,0.11
2024-06-05,3,2,4,0
2024-06-05,3,2,5,0
2024-06-05,3,2,6,0
2024-06-06,1,2,0,0.02
2024-06-06,1,2,1,0.41
2024-06-06,1,2,2,0.57
2024-06-06,1,2,3,0
2024-06-06,1,2,4,0
2024-06-06,1,2,5,0
2024-06-06,1,2,6,0
2024-06-06,1,3,0,0.03
2024-06-06,1,3,1,0.44
2024-06-06,1,3,2,0.53
2024-06-06,1,3,3,0
2024-06-06,1,3,4,0
2024-06-06,1,3,5,0
2024-06-06,1,3,6,0
2024-06-06,2,1,0,0.04
2024-06-06,2,1,1,0.55
2024-06-06,2,1,2,0.41
2024-06-06,2,1,3,0
2024-06-06,2,1,4,0
2024-06-06,2,1,5,0
2024-06-06,2,1,6,0
2024-06-06,2,3,0,0.03
2024-06-06,2,3,1,0.44
2024-06-06,2,3,2,0.53
2024-06-06,2,3,3,0
2024-06-06,2,3,4,0
2024-06-06,2,3,5,0
2024-06-06,2,3,6,0
2024-06-06,3,1,0,0.04
2024-06-06,3,1,1,0.55
2024-06-06,3,1,2,0.41
2024-06-06,3,1,3,0
2024-06-06,3,1,4,0
2024-06-06,3,1,5,0
2024-06-06,3,1,6,0
2024-06-06,3,2,0,0.02
2024-06-06,3,2,1,0.41
2024-06-06,3,2,2,0.57
2024-06-06,3,2,3,0
2024-06-06,3,2,4,0
2024-06-06,3,2,5,0
2024-06-06,3,2,6,0
2024-06-07,1,2,0,0.02
2024-06-07,1,2,1,0.18
2024-06-07,1,2,2,0
2024-06-07,1,2,3,0.8
2024-06-07,1,2,4,0
2024-06-07,1,2,5,0
2024-06-07,1,2,6,0
2024-06-07,1,3,0,0.02
2024-06-07,1,3,1,0.3
2024-06-07,1,3,2,0
2024-06-07,1,3,3,0.68
2024-06-07,1,3,4,0
2024-06-07,1,3,5,0
2024-06-07,1,3,6,0
2024-06-07,2,1,0,0.04
2024-06-07,2,1,1,0.4
2024-06-07,2,1,2,0
2024-06-07,2,1,3,0.56
2024-06-07,2,1,4,0
2024-06-07,2,1,5,0
2024-06-07,2,1,6,0
2024-06-07,2,3,0,0.02
2024-06-07,2,3,1,0.3
2024-06-07,2,3,2,0
2024-06-07,2,3,3,0.68
2024-06-07,2,3,4,0
2024-06-07,2,3,5,0
2024-06-07,2,3,6,0
2024-06-07,3,1,0,0.04
2024-06-07,3,1,1,0.4
2024-06-07,3,1,2,0
2024-06-07,3,1,3,0.56
2024-06-07,3,1,4,0
2024-06-07,3,1,5,0
2024-06-07,3,1,6,0
2024-06-07,3,2,0,0.02
2024-06-07,3,2,1,0.18
2024-06-07,3,2,2,0
2024-06-07,3,2,3,0.8
2024-06-07,3,2,4,0
2024-06-07,3,2,5,0
2024-06-07,3,2,6,0
2024-06-08,1,2,0,0.02
2024-06-08,1,2,1,0
2024-06-08,1,2,2,0.38
2024-06-08,1,2,3,0.6
2024-06-08,1,2,4,0
2024-06-08,1,2,5,0
2024-06-08,1,2,6,0
2024-06-08,1,3,0,0.01
2024-06-08,1,3,1,0
2024-06-08,1,3,2,0.28
2024-06-08,1,3,3,0.71
2024-06-08,1,3,4,0
2024-06-08,1,3,5,0
2024-06-08,1,3,6,0
2024-06-08,2,1,0,0.01
2024-06-08,2,1,1,0
2024-06-08,2,1,2,0.53
2024-06-08,2,1,3,0.46
2024-06-08,2,1,4,0
2024-06-08,2,1,5,0
2024-06-08,2,1,6,0
2024-06-08,2,3,0,0.01
2024-06-08,2,3,1,0
2024-06-08,2,3,2,0.28
2024-06-08,2,3,3,0.71
2024-06-08,2,3,4,0
2024-06-08,2,3,5,0
2024-06-08,2,3,6,0
2024-06-08,3,1,0,0.01
2024-06-08,3,1,1,0
2024-06-08,3,1,2,0.53
2024-06-08,3,1,3,0.46
2024-06-08,3,1,4,0
2024-06-08,3,1,5,0
2024-06-08,3,1,6,0
2024-06-08,3,2,0,0.02
2024-06-08,3,2,1,0
2024-06-08,3,2,2,0.38
2024-06-08,3,2,3,0.6
2024-06-08,3,2,4,0
2024-06-08,3,2,5,0
2024-06-08,3,2,6,0
2024-06-09,1,2,0,0
2024-06-09,1,2,1,0.04
2024-06-09,1,2,2,0.54
2024-06-09,1,2,3,0.42
2024-06-09,1,2,4,0
2024-06-09,1,2,5,0
2024-06-09,1,2,6,0
2024-06-09,1,3,0,0
2024-06-09,1,3,1,0.03
2024-06-09,1,3,2,0.82
2024-06-09,1,3,3,0.15
2024-06-09,1,3,4,0
2024-06-09,1,3,5,0
2024-06-09,1,3,6,0
2024-06-09,2,1,0,0
2024-06-09,2,1,1,0.07
2024-06-09,2,1,2,0.72
2024-06-09,2,1,3,0.21
2024-06-09,2,1,4,0
2024-06-09,2,1,5,0
2024-06-09,2,1,6,0
2024-06-09,2,3,0,0
2024-06-09,2,3,1,0.03
2024-06-09,2,3,2,0.82
2024-06-09,2,3,3,0.15
2024-06-09,2,3,4,0
2024-06-09,2,3,5,0
2024-06-09,2,3,6,0
2024-06-09,3,1,0,0
2024-06-09,3,1,1,0.07
2024-06-09,3,1,2,0.72
2024-06-09,3,1,3,0.21
2024-06-09,3,1,4,0
2024-06-09,3,1,5,0
2024-06-09,3,1,6,0
2024-06-09,3,2,0,0
2024-06-09,3,2,1,0.04
2024-06-09,3,2,2,0.54
2024-06-09,3,2,3,0.42
2024-06-09,3,2,4,0
2024-06-09,3,2,5,0
2024-06-09,3,2,6,0
2024-06-10,1,2,0,0.02
2024-06-10,1,2,1,0.23
2024-06-10,1,2,2,0.61
2024-06-10,1,2,3,0.14
2024-06-10,1,2,4,0
2024-06-10,1,2,5,0
2024-06-10,1,2,6,0
2024-06-10,1,3,0,0.01
2024-06-10,1,3,1,0.32
2024-06-10,1,3,2,0.67
2024-06-10,1,3,3,0
2024-06-10,1,3,4,0
2024-06-10,1,3,5,0
2024-06-10,1,3,6,0
2024-06-10,2,1,0,0.03
2024-06-10,2,1,1,0.33
2024-06-10,2,1,2,0.6
2024-06-10,2,1,3,0.04
2024-06-10,2,1,4,0
2024-06-10,2,1,5,0
2024-06-10,2,1,6,0
2024-06-10,2,3,0,0.01
2024-06-10,2,3,1,0.32
2024-06-10,2,3,2,0.67
2024-06-10,2,3,3,0
2024-06-10,2,3,4,0
2024-06-10,2,3,5,0
2024-06-10,2,3,6,0
2024-06-10,3,1,0,0.03
2024-06-10,3,1,1,0.33
2024-06-10,3,1,2,0.6
2024-06-10,3,1,3,0.04
2024-06-10,3,1,4,0
2024-06-10,3,1,5,0
2024-06-10,3,1,6,0
2024-06-10,3,2,0,0.02
2024-06-10,3,2,1,0.23
2024-06-10,3,2,2,0.61
2024-06-10,3,2,3,0.14
2024-06-10,3,2,4,0
2024-06-10,3,2,5,0
2024-06-10,3,2,6,0
2024-06-11,1,2,0,0.03
2024-06-11,1,2,1,0.43
2024-06-11,1,2,2,0.54
2024-06-11,1,2,3,0
2024-06-11,1,2,4,0
2024-06-11,1,2,5,0
2024-06-11,1,2,6,0
2024-06-11,1,3,0,0.03
2024-06-11,1,3,1,0.48
2024-06-11,1,3,2,0.48
2024-06-11,1,3,3,0.01
2024-06-11,1,3,4,0
2024-06-11,1,3,5,0
2024-06-11,1,3,6,0
2024-06-11,2,1,0,0.06
2024-06-11,2,1,1,0.43
2024-06-11,2,1,2,0.51
2024-06-11,2,1,3,0
2024-06-11,2,1,4,0
2024-06-11,2,1,5,0
2024-06-11,2,1,6,0
2024-06-11,2,3,0,0.03
2024-06-11,2,3,1,0.48
2024-06-11,2,3,2,0.48
2024-06-11,2,3,3,0.01
2024-06-11,2,3,4,0
2024-06-11,2,3,5,0
2024-06-11,2,3,6,0
2024-06-11,3,1,0,0.06
2024-06-11,3,1,1,0.43
2024-06-11,3,1,2,0.51
2024-06-11,3,1,3,0
2024-06-11,3,1,4,0
2024-06-11,3,1,5,0
2024-06-11,3,1,6,0
2024-06-11,3,2,0,0.03
2024-06-11,3,2,1,0.43
2024-06-11,3,2,2,0.54
2024-06-11,3,2,3,0
2024-06-11,3,2,4,0
2024-06-11,3,2,5,0
2024-06-11,3,2,6,0
2024-06-12,1,2,0,0.02
2024-06-12,1,2,1,0.53
2024-06-12,1,2,2,0.34
2024-06-12,1,2,3,0.11
2024-06-12,1,2,4,0
2024-06-12,1,2,5,0
2024-06-12,1,2,6,0
2024-06-12,1,3,0,0.02
2024-06-12,1,3,1,0.47
2024-06-12,1,3,2,0.46
2024-06-12,1,3,3,0.05
2024-06-12,1,3,4,0
2024-06-12,1,3,5,0
2024-06-12,1,3,6,0
2024-06-12,2,1,0,0.04
2024-06-12,2,1,1,0.43
2024-06-12,2,1,2,0.52
2024-06-12,2,1,3,0.01
2024-06-12,2,1,4,0
2024-06-12,2,1,5,0
2024-06-12,2,1,6,0
2024-06-12,2,3,0,0.02
2024-06-12,2,3,1,0.47
2024-06-12,2,3,2,0.46
2024-06-12,2,3,3,0.05
2024-06-12,2,3,4,0
2024-06-12,2,3,5,0
2024-06-12,2,3,6,0
2024-06-12,3,1,0,0.04
2024-06-12,3,1,1,0.43
2024-06-12,3,1,2,0.52
2024-06-12,3,1,3,0.01
2024-06-12,3,1,4,0
2024-06-12,3,1,5,0
2024-06-12,3,1,6,0
2024-06-12,3,2,0,0.02
2024-06-12,3,2,1,0.53
2024-06-12,3,2,2,0.34
2024-06-12,3,2,3,0.11
2024-06-12,3,2,4,0
2024-06-12,3,2,5,0
2024-06-12,3,2,6,0
2024-06-13,1,2,0,0.02
2024-06-13,1,2,1,0.41
2024-06-13,1,2,2,0.57
2024-06-13,1,2,3,0
2024-06-13,1,2,4,0
2024-06-13,1,2,5,0
2024-06-13,1,2,6,0
2024-06-13,1,3,0,0.03
2024-06-13,1,3,1,0.44
2024-06-13,1,3,2,0.53
2024-06-13,1,3,3,0
2024-06-13,1,3,4,0
2024-06-13,1,3,5,0
2024-06-13,1,3,6,0
